external_id,name,description_html,type_id,state_id,external_source,assignees,extra_properties,cycle_id,module_id
FICCHEADS-1127,境外债券支持配置汇率敞口算法 [0328],<p>支持境外债券合约的汇率敞口的灵活配置和计算，满足客户对于汇率浮动所导致的本金损益精细化管理的诉求</p><p>【当前迭代交付】启动累计结转模式汇率敞口计算开发</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""场外衍生品"", ""category_l2"": ""场外收益互换"", ""category_l3"": ""场外"", ""center"": ""代客业务中心"", ""biz_pm"": ""褚悦珊"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""9a969130-2666-4604-9326-c2b17ca09ef1"", ""techLead"": ""张弦"", ""in_delivery"": true, ""estimated_iteration"": ""预计0425迭代完成交付"", ""delivery_content"": ""启动累计结转模式汇率敞口计算开发"", ""remarks"": ""技术负责人在【1-28日】已确认""}",8b6f3266-ad5d-4193-8b2e-724da8b4a476,
FICCHEADS-1124,境外债TRS付息/资金流水自动生成 [0328],<p>支持境外债TRS（包括中资美元债、点心债等）自动生成债券付息资金流水与交易流水，具体包括：</p><p>1）合约簿记增加派息规则等字段</p><p>2）自动生成付息要素</p><p>3）生成付息交易流水</p><p>4）生成资金流水</p><p>【当前迭代交付】启动场外侧债券付息资金流水和交易流水开发</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""互换"", ""category_l2"": ""场外收益互换"", ""category_l3"": ""场外"", ""center"": ""代客业务中心"", ""biz_pm"": ""褚悦珊"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""9a969130-2666-4604-9326-c2b17ca09ef1"", ""techLead"": ""张弦"", ""in_delivery"": true, ""estimated_iteration"": ""预计0425迭代完成交付"", ""delivery_content"": ""启动场外侧债券付息资金流水和交易流水开发"", ""remarks"": ""技术负责人在【1-28日】已确认""}",8b6f3266-ad5d-4193-8b2e-724da8b4a476,
FICCHEADS-1167,TARF平台建设 [0328],<p>【当前迭代交付】完成TARF中后台对接和存续期监控部分功能</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""场外衍生品"", ""category_l2"": ""TARF"", ""category_l3"": ""交易簿记"", ""center"": ""代客业务中心"", ""team"": ""外汇产品团队"", ""biz_pm"": ""陈思宇"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""daa28f62-9d59-4c8a-9c93-28d931e72b99"", ""techLead"": ""张天翼"", ""in_delivery"": true, ""estimated_iteration"": ""预计0328迭代完成交付"", ""delivery_content"": ""完成TARF中后台对接和存续期监控部分功能"", ""remarks"": ""技术负责人在【1-28日】已确认""}",8b6f3266-ad5d-4193-8b2e-724da8b4a476,1b35a6b5-f222-4016-9fb1-ad7d924bded4
FICCHEADS-1180,港交所外汇期货做市交易系统建设需求说明书 [0328],<p>【当前迭代交付】完成易盛柜台外汇期货行情对接和做市交易链路基础组件境外部署。</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""外汇"", ""category_l2"": ""外汇期货"", ""category_l3"": ""交易链路"", ""center"": ""做市业务中心"", ""team"": ""外汇做市台"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""943c1313-5035-46a0-b1e2-91e3a19546a6"", ""techLead"": ""王轮樟"", ""in_delivery"": true, ""estimated_iteration"": ""预计0523迭代之后完成交付"", ""delivery_content"": ""完成易盛柜台外汇期货行情对接和做市交易链路基础组件境外部署。"", ""remarks"": ""技术负责人在【1-29日】已确认""}",8b6f3266-ad5d-4193-8b2e-724da8b4a476,770f76de-e4c8-4d07-a092-9639b2a1ab52
FICCHEADS-873,IRS交易支持对接xswap实现线上对冲 [0328],<p>目前场外衍生品平台TRS的IRS品种对客交易，客户主要是通过线下与我们达成交易，交易效率低，后续通过大象平台TRS对冲端直连X-Swap平台，客户可以直接线上看到X-Swap价格（加点）进行成交，能大幅提升交易量。目前TRS支持债券通过X-Bond的成交模式。</p><p>【当前迭代交付】启动线上对冲交易链路开发</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""互换"", ""category_l2"": ""场外收益互换"", ""category_l3"": ""场外"", ""center"": ""代客业务中心"", ""biz_pm"": ""褚悦珊"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""9a969130-2666-4604-9326-c2b17ca09ef1"", ""techLead"": ""张弦"", ""in_delivery"": true, ""estimated_iteration"": ""预计0425迭代完成交付"", ""delivery_content"": ""启动线上对冲交易链路开发"", ""remarks"": ""技术负责人在【1-28日】已确认""}",8b6f3266-ad5d-4193-8b2e-724da8b4a476,
FICCHEADS-1097,境外债自营风控优化需求 [0328],<p>【当前迭代交付】启动授权额度监控研发；</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""债券"", ""category_l2"": ""南向通债券"", ""category_l3"": ""交易风控"", ""center"": ""风险合规中心"", ""team"": ""风险管理团队"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""86316c00-0847-43a8-8176-834f264e0307"", ""techLead"": ""戚挺"", ""in_delivery"": true, ""estimated_iteration"": ""预计0425迭代完成交付"", ""delivery_content"": ""启动授权额度监控研发；"", ""remarks"": ""技术负责人在【1-28日】已确认\n本需求遗留功能点与后续新需求（FICCHEAS-1130）耦合紧密，经沟通本功能点合并到后续需求整体开发。""}",8b6f3266-ad5d-4193-8b2e-724da8b4a476,
FICCHEADS-1099,iDeal机器人自动下单功能(新增支持平安利顺） [0328],<p>实现直连货币中介iDeal机器人的债券自动下单成交。</p><p>此需求为新增对接直连货币中介平安理顺的机器人。</p><p>【当前迭代交付】完成平安利顺的接口对接</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""债券"", ""category_l2"": ""银行间债券"", ""category_l3"": ""直连经纪商债券交易"", ""center"": ""做市业务中心"", ""team"": ""本币做市台"", ""biz_pm"": ""韩玲"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""1f032804-4e24-4b85-a5d3-e57bb39f84b4"", ""techLead"": ""戚挺"", ""in_delivery"": true, ""estimated_iteration"": ""预计0328迭代完成交付"", ""delivery_content"": ""完成平安利顺的接口对接"", ""remarks"": ""技术负责人在【1-28日】已确认""}",8b6f3266-ad5d-4193-8b2e-724da8b4a476,
FICCHEADS-1136,其他债权投资和持有至到期损益计算逻辑优化 [0328],<p>【当前迭代交付】完成自营日报部分对OCI/AC账户相关的适配</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""风险管理"", ""category_l3"": ""业务报表"", ""center"": ""风险合规中心"", ""team"": ""风险管理团队"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""daa28f62-9d59-4c8a-9c93-28d931e72b99"", ""techLead"": ""姚忠兵"", ""in_delivery"": true, ""estimated_iteration"": ""预计0425迭代完成交付"", ""delivery_content"": ""完成自营日报部分对OCI/AC账户相关的适配"", ""remarks"": ""技术负责人在【1-23日】已确认""}",8b6f3266-ad5d-4193-8b2e-724da8b4a476,
FICCHEADS-1082,增加财富管理部私行中心客户准入流程 [0328],<p>【当前迭代交付】支持私行客户的准入流程</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""销售业务"", ""category_l3"": ""数据报送"", ""center"": ""销售业务中心"", ""team"": ""代客销售团队"", ""biz_pm"": ""吴凡"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""1f032804-4e24-4b85-a5d3-e57bb39f84b4"", ""techLead"": ""张弦"", ""in_delivery"": true, ""estimated_iteration"": ""预计0328迭代完成交付"", ""delivery_content"": ""支持私行客户的准入流程"", ""remarks"": ""技术负责人在【1-28日】已确认""}",8b6f3266-ad5d-4193-8b2e-724da8b4a476,
FICCHEADS-812,监管报表-现券和回购偏离度报表完善需求V2 [0328],<p>对监管报表中，细分的“现券和回购偏离度报表”进行有关完善。</p><p>【当前迭代交付】完成技术方案的调研和设计</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""风险管理"", ""category_l3"": ""业务报表"", ""center"": ""风险合规中心"", ""team"": ""风险管理团队"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""daa28f62-9d59-4c8a-9c93-28d931e72b99"", ""techLead"": ""陈治平"", ""in_delivery"": true, ""estimated_iteration"": ""预计0425迭代完成交付"", ""delivery_content"": ""完成技术方案的调研和设计"", ""remarks"": ""技术负责人在【1-28日】已确认""}",8b6f3266-ad5d-4193-8b2e-724da8b4a476,
