name,description_html,type_id,state_id,priority,assignees,extra_properties,cycle_name,module_name
港交所外汇期货做市交易系统建设需求说明书,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""943c1313-5035-46a0-b1e2-91e3a19546a6""]","{""req_source"": ""FICCHEADS-1180"", ""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""外汇"", ""category_l2"": ""外汇期货"", ""category_l3"": ""交易链路"", ""center"": ""做市业务中心"", ""team"": ""外汇做市台"", ""biz_pm"": ""赵鸿达"", ""estimated_iteration"": ""0307迭代"", ""techLead"": ""98cb9446-ac30-4857-9c77-644999e62d52"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
TARF平台建设,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""daa28f62-9d59-4c8a-9c93-28d931e72b99""]","{""req_source"": ""FICCHEADS-1167"", ""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""场外衍生品"", ""category_l2"": ""TARF"", ""category_l3"": ""交易簿记"", ""center"": ""代客业务中心"", ""team"": ""外汇产品团队"", ""biz_pm"": ""陈思宇"", ""estimated_iteration"": ""待定"", ""techLead"": ""f81bb5d7-a37c-4d34-b1fc-f92d46f5b2a8"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
金控FICC美国国债交易后业务需求说明书,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""86316c00-0847-43a8-8176-834f264e0307""]","{""req_source"": ""FICCHEADS-1173"", ""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""债券"", ""category_l2"": ""美国国债"", ""category_l3"": ""交易簿记"", ""center"": ""科技研发中心"", ""team"": ""大象平台产品团队"", ""biz_pm"": ""赵鸿达"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""144bf735-9e10-4029-84d0-85e3749bf5d3"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
港交所国债期货做市需求,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,[],"{""req_source"": ""FICCHEADS-1089"", ""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""biz_pm"": ""武晨宇"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
iDeal农信平台做市服务需求,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""1f032804-4e24-4b85-a5d3-e57bb39f84b4""]","{""req_source"": ""FICCHEADS-1067"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""债券"", ""category_l2"": ""银行间债券"", ""category_l3"": ""做市报价及询价回复"", ""center"": ""做市业务中心"", ""team"": ""本币做市台"", ""biz_pm"": ""韩玲"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""0d5d1a69-68ee-4885-9bb7-bf93e92eb4aa"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
支持债券ETF数据接入,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""535b3838-1804-4a1f-8353-5320babd97b8""]","{""req_source"": ""FICCHEADS-1121"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""基金"", ""category_l2"": ""债券ETF"", ""category_l3"": ""数据接入"", ""center"": ""做市业务中心"", ""team"": ""本币做市台"", ""biz_pm"": ""武晨宇"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""0d5d1a69-68ee-4885-9bb7-bf93e92eb4aa"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
境外债自营风控优化需求,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""daa28f62-9d59-4c8a-9c93-28d931e72b99""]","{""req_source"": ""FICCHEADS-1097"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""债券"", ""category_l2"": ""南向通债券"", ""category_l3"": ""交易风控"", ""center"": ""风险合规中心"", ""team"": ""风险管理团队"", ""biz_pm"": ""赵鸿达"", ""estimated_iteration"": ""0307迭代"", ""techLead"": ""74c21a3b-1b9b-47f2-b7ab-b8195738260d"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
协议报备页面展示 待开发,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""1f032804-4e24-4b85-a5d3-e57bb39f84b4""]","{""req_source"": ""FICCHEADS-1145"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""销售业务"", ""category_l3"": ""销售管理"", ""center"": ""销售业务中心"", ""team"": ""代客销售团队"", ""biz_pm"": ""陈思宇"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""144bf735-9e10-4029-84d0-85e3749bf5d3"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
增加财富管理部私行中心客户准入流程,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""1f032804-4e24-4b85-a5d3-e57bb39f84b4""]","{""req_source"": ""FICCHEADS-1082"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""销售业务"", ""category_l3"": ""数据报送"", ""center"": ""销售业务中心"", ""team"": ""代客销售团队"", ""biz_pm"": ""吴凡"", ""estimated_iteration"": ""0307迭代"", ""techLead"": ""144bf735-9e10-4029-84d0-85e3749bf5d3"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
其他债权投资和持有至到期损益计算逻辑优化,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""daa28f62-9d59-4c8a-9c93-28d931e72b99""]","{""req_source"": ""FICCHEADS-1136"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""风险管理"", ""category_l3"": ""业务报表"", ""center"": ""风险合规中心"", ""team"": ""风险管理团队"", ""biz_pm"": ""赵鸿达"", ""estimated_iteration"": ""0307迭代"", ""techLead"": ""74c21a3b-1b9b-47f2-b7ab-b8195738260d"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
